Score,White,Black,Hispanic,Asian
0.0,0.7587481448144818,0.3367840488341839,0.5681692269226922,0.80684994
0.5,0.7587481448144818,0.3367840488341839,0.5681692269226922,0.80684994
1.0,0.7605985762983762,0.34051417872684947,0.5707253591881845,0.8078283568639231
1.5,0.7672839133953869,0.3548803844935037,0.580569339333197,0.8135012409200968
2.0,0.7692971593791219,0.3590059873837271,0.5835332716430187,0.8149464570908724
2.5,0.7720518024439924,0.3642214308978394,0.5878209097502848,0.8168491892987434
3.0,0.774207629455623,0.3693794555273889,0.5909756773655689,0.8182961315869631
3.5,0.7776256849666501,0.3767686486486486,0.5966307012002526,0.8207362941835591
4.0,0.7806745981038752,0.38314177563661383,0.6009934097421202,0.8235666666666667
4.5,0.7838737811820727,0.3902489815031608,0.605854271948608,0.8257145200984414
5.0,0.7849873108024056,0.3926263319189061,0.6077322410829393,0.8264815233011702
5.5,0.7898128692203323,0.4033830092367525,0.6154168337328393,0.8304798968008256
6.0,0.7937634655751473,0.41256199027310136,0.6219637666776932,0.8334952336545436
6.5,0.7979508340371626,0.42127171691364335,0.6272490870630149,0.8366792195629553
7.0,0.800045648030496,0.4269452575580642,0.6310403251121076,0.8380802231025856
7.5,0.8041622750026632,0.435420302748639,0.6380781399046104,0.8405742154811716
8.0,0.8058836216100795,0.4394583299771782,0.6408153503766262,0.8430752204030226
8.5,0.8093978216546845,0.446682149212868,0.6458124971204791,0.8454260581174985
9.0,0.8109661540116159,0.4497412146307799,0.6484458217592591,0.8463668880455407
9.5,0.8133492877185414,0.4551012883349671,0.6515192061459666,0.8482483512999365
10.0,0.815281136363637,0.45922917020674026,0.6550381136496777,0.8494245157192759
10.5,0.8178765019011414,0.46490346513299785,0.6585031014150942,0.8510709739019733
11.0,0.8197239324618742,0.468740223707147,0.6615991104258093,0.8518416525063721
11.5,0.8228191179689216,0.4749708314872249,0.6659790600334846,0.854953024
12.0,0.825172622446739,0.48085284235788206,0.669424446316803,0.8565235407312379
12.5,0.8297333149049099,0.49128905840653414,0.676581481029645,0.8601366577109081
13.0,0.832383092806395,0.49711977162521515,0.6801662859248341,0.8626111530579224
13.5,0.835912823660715,0.5041664331210192,0.6852847098214285,0.8649047732438574
14.0,0.838557608695653,0.5106420456384528,0.6891857464084946,0.8674450939910897
14.5,0.8433381984422628,0.521142368377346,0.6968828136882128,0.870435120087336
15.0,0.8458406685552414,0.5277553080168776,0.7013602760736196,0.872351259307928
15.5,0.8498131911982676,0.5371490074227516,0.7072535797363659,0.8751106808931909
16.0,0.8521655452568949,0.5433162024873008,0.7113338195077483,0.877494555494202
16.5,0.855689000115062,0.5518541279485347,0.7169854172150566,0.8794457839335179
17.0,0.8581817142197071,0.5583896407837446,0.7217075819944231,0.8813599999999999
17.5,0.8611814415041787,0.5659813919143438,0.7274024694671856,0.883048583853702
18.0,0.8632975311517415,0.5721305129165106,0.7308460624071322,0.8843337655079914
18.5,0.8664273993445697,0.5790136882129278,0.735536781139275,0.8869118036837375
19.0,0.8684600868952564,0.5847668592335837,0.7390208093278464,0.887791675104061
19.5,0.8713551321378012,0.5908153590944575,0.7439887150373858,0.89008477794101
