TransRisk Score,asian,black,hispanic,white
0.0,0.0,0.0,0.0,0.0
0.5,5.90518653007521e-05,0.0011759398323441367,0.00038856860503197406,0.001912773561164513
1.0,0.0003406838382735698,0.004346777594557792,0.001478250127839032,0.006885984820192246
1.5,8.630657236263771e-05,0.0011969387579217105,0.00043925146655788373,0.0020657954460576743
2.0,0.00011356127942452327,0.001490923716007745,0.0006335357690738707,0.00283090487052348
2.5,8.630657236263767e-05,0.0014489258648525973,0.0004645928973208384,0.0022188173309508337
3.0,0.00014535843766338982,0.0020263963182358784,0.0008278200715898576,0.003519503352542704
3.5,0.0001680706935482945,0.0017009129717834848,0.0006335357690738707,0.0031369486403098022
4.0,0.00012718863295546598,0.0018479054508265006,0.0007011129177750837,0.0032899705252029637
4.5,4.542451176980935e-05,0.0006089688417496424,0.0002703085948048518,0.001147664136698707
5.0,0.0002362074612030084,0.0026878624739294543,0.00109812866639471,0.004973211259027737
5.5,0.00017715559590225635,0.0021943877228564695,0.0009207386510540254,0.004055079949668763
6.0,0.00018624049825621803,0.002005397392658305,0.0007349014921256895,0.004284612777008513
6.5,8.176412118565683e-05,0.0012704349974432202,0.0005237229024344008,0.0021423063885042497
7.0,0.0001453584376633899,0.0018479054508265024,0.0009629743689922826,0.004208101834561934
7.5,0.00014535843766338952,0.000860955948680529,0.0003716743178566719,0.0017597516762713483
8.0,0.00013627353530942785,0.0015119226415853165,0.000675771487012128,0.003596014294989283
8.5,5.4509414123771214e-05,0.0006299677673272177,0.00035478003068136756,0.0016067297913781905
9.0,0.00010901882824754243,0.0010919441300338405,0.0004139100357949291,0.0024483501582905787
9.5,6.813676765471411e-05,0.0008294575603141672,0.0004730400409084906,0.0019892845036110916
10.0,9.539147471659952e-05,0.0011234425184002026,0.0004645928973208377,0.002677882985630322
10.5,4.542451176980915e-05,0.0007454618580038734,0.0004139100357949291,0.0019127735611645061
11.0,0.00018624049825621822,0.001186439295132923,0.0005828529075479607,0.003213459582756381
11.5,9.539147471659952e-05,0.0010919441300338405,0.0004561457537331893,0.0024483501582905787
12.0,0.0002225801076720657,0.0018689043764040759,0.0009376329382293282,0.004743678431688
12.5,0.00015444334001735158,0.0010079484277235467,0.00046459289732083623,0.0027543939280768944
13.0,0.0001453584376633899,0.0011864392951329264,0.0006588771998368267,0.003672525237435868
13.5,0.00016352824237131326,0.0010604457416674787,0.000498381471671445,0.0027543939280768944
14.0,0.0001953254006101803,0.0016589151206283343,0.000971421512579937,0.004973211259027737
14.5,0.00012718863295546577,0.0010079484277235467,0.0005575114767850065,0.0026013720431837368
15.0,0.00018624049825621822,0.001385929088119876,0.0007264543485380381,0.004131590892115342
15.5,0.00016352824237131326,0.0008819548742580989,0.000498381471671445,0.0024483501582905787
16.0,0.00013627353530942823,0.0011864392951329264,0.0006842186305997794,0.003672525237435868
16.5,0.00013627353530942823,0.0008819548742581062,0.0005659586203726594,0.0026013720431837368
17.0,0.00012264618177848494,0.0009974489649347547,0.0006757714870121265,0.0031369486403098022
17.5,9.539147471659913e-05,0.0007874597091590203,0.00040546289220727766,0.0022188173309508424
18.0,0.00019532540061018068,0.000860955948680529,0.0005490643331973565,0.0032899705252029602
18.5,6.813676765471331e-05,0.0007034640068487266,0.00040546289220727766,0.0021423063885042497
19.0,0.0001816980470792374,0.0007244629324262963,0.0005744057639603092,0.0030604376978632234
