TransRisk Score,Demographic,Good,Bad
0.0,white,0.0,1.0
0.5,white,0.0,1.0
1.0,white,0.02562949640287753,0.9743705035971224
1.5,white,0.0273184759166066,0.9726815240833934
2.0,white,0.042151968940654184,0.9578480310593458
2.5,white,0.053596614950634384,0.9464033850493656
3.0,white,0.05172413793103416,0.948275862068966
3.5,white,0.0590979782270603,0.9409020217729396
4.0,white,0.05590975968612031,0.9440902403138796
4.5,white,0.05444126074498527,0.9455587392550148
5.0,white,0.08569587628865935,0.9143041237113406
5.5,white,0.09264526615197016,0.90735473384803
6.0,white,0.08682406702208632,0.9131759329779136
6.5,white,0.05960784313725459,0.9403921568627454
7.0,white,0.1182879377431898,0.8817120622568102
7.5,white,0.07203791469194297,0.927962085308057
8.0,white,0.12326227988878515,0.8767377201112149
8.5,white,0.08042328042327967,0.9195767195767204
9.0,white,0.10726887791107934,0.8927311220889207
9.5,white,0.13706041478809658,0.8629395852119034
10.0,white,0.17007672634270998,0.82992327365729
10.5,white,0.16888888888888787,0.8311111111111121
11.0,white,0.14910313901345176,0.8508968609865483
11.5,white,0.12313674659753696,0.8768632534024631
12.0,white,0.12960436562073593,0.8703956343792639
12.5,white,0.1834640917320454,0.8165359082679546
13.0,white,0.17757009345794264,0.8224299065420574
13.5,white,0.15384615384615327,0.8461538461538467
14.0,white,0.15159574468085033,0.8484042553191496
14.5,white,0.1472868217054249,0.8527131782945752
15.0,white,0.18551668022782666,0.8144833197721734
15.5,white,0.2465753424657513,0.7534246575342487
16.0,white,0.21318373071528726,0.7868162692847127
16.5,white,0.2753623188405786,0.7246376811594214
17.0,white,0.26587728740581096,0.734122712594189
17.5,white,0.2876366694701405,0.7123633305298596
18.0,white,0.30158730158730146,0.6984126984126986
18.5,white,0.3069466882067827,0.6930533117932174
19.0,white,0.3543609434997241,0.6456390565002759
19.5,white,0.30755395683453085,0.6924460431654691
20.0,white,0.18149824032176867,0.8185017596782314
20.5,white,0.25054945054944905,0.749450549450551
21.0,white,0.2865761689291088,0.7134238310708911
21.5,white,0.36538461538461575,0.6346153846153842
22.0,white,0.3931034482758599,0.60689655172414
22.5,white,0.4228934817170084,0.5771065182829915
23.0,white,0.3723342939481264,0.6276657060518736
23.5,white,0.355361596009974,0.6446384039900259
24.0,white,0.4034888130451241,0.5965111869548758
24.5,white,0.4373401534526856,0.5626598465473145
25.0,white,0.4994944388270946,0.5005055611729053
25.5,white,0.5074626865671654,0.4925373134328346
26.0,white,0.4831398562741851,0.5168601437258149
26.5,white,0.4982896237172122,0.5017103762827879
27.0,white,0.5173978819969736,0.4826021180030264
27.5,white,0.4911564625850346,0.5088435374149655
28.0,white,0.5635270541082126,0.4364729458917874
28.5,white,0.5577536694320364,0.4422463305679636
29.0,white,0.611356466876969,0.388643533123031
29.5,white,0.5852363250132773,0.4147636749867227
30.0,white,0.6364037020713955,0.3635962979286045
30.5,white,0.6011865524060646,0.39881344759393533
